id,category,value
1,食品,102.5
2,飲料,105.0
3,日用品,107.5
4,家電,110.0
5,食品,112.5
6,飲料,115.0
7,日用品,117.5
8,家電,120.0
9,食品,122.5
10,飲料,125.0
11,日用品,127.5
12,家電,130.0
13,食品,132.5
14,飲料,135.0
15,日用品,137.5
16,家電,140.0
17,食品,142.5
18,飲料,145.0
19,日用品,147.5
20,家電,150.0
21,食品,152.5
22,飲料,155.0
23,日用品,157.5
24,家電,160.0
25,食品,162.5
26,飲料,165.0
27,日用品,167.5
28,家電,170.0
29,食品,172.5
30,飲料,175.0
31,日用品,177.5
32,家電,180.0
33,食品,182.5
34,飲料,185.0
35,日用品,187.5
36,家電,190.0
37,食品,192.5
38,飲料,195.0
39,日用品,197.5
40,家電,200.0
41,食品,202.5
42,飲料,205.0
43,日用品,207.5
44,家電,210.0
45,食品,212.5
46,飲料,215.0
47,日用品,217.5
48,家電,220.0
49,食品,222.5
50,飲料,225.0
51,日用品,227.5
52,家電,230.0
53,食品,232.5
54,飲料,235.0
55,日用品,237.5
56,家電,240.0
57,食品,242.5
58,飲料,245.0
59,日用品,247.5
60,家電,250.0
61,食品,252.5
62,飲料,255.0
63,日用品,257.5
64,家電,260.0
65,食品,262.5
66,飲料,265.0
67,日用品,267.5
68,家電,270.0
69,食品,272.5
70,飲料,275.0
71,日用品,277.5
72,家電,280.0
73,食品,282.5
74,飲料,285.0
75,日用品,287.5
76,家電,290.0
77,食品,292.5
78,飲料,295.0
79,日用品,297.5
80,家電,300.0
81,食品,302.5
82,飲料,305.0
83,日用品,307.5
84,家電,310.0
85,食品,312.5
86,飲料,315.0
87,日用品,317.5
88,家電,320.0
89,食品,322.5
90,飲料,325.0
91,日用品,327.5
92,家電,330.0
93,食品,332.5
94,飲料,335.0
95,日用品,337.5
96,家電,340.0
97,食品,342.5
98,飲料,345.0
99,日用品,347.5
100,家電,350.0
