id,category,value
1,食品,101.25
2,飲料,102.5
3,日用品,103.75
4,家電,105.0
5,食品,106.25
6,飲料,107.5
7,日用品,108.75
8,家電,110.0
9,食品,111.25
10,飲料,112.5
11,日用品,113.75
12,家電,115.0
13,食品,116.25
14,飲料,117.5
15,日用品,118.75
16,家電,120.0
17,食品,121.25
18,飲料,122.5
19,日用品,123.75
20,家電,125.0
21,食品,126.25
22,飲料,127.5
23,日用品,128.75
24,家電,130.0
25,食品,131.25
26,飲料,132.5
27,日用品,133.75
28,家電,135.0
29,食品,136.25
30,飲料,137.5
31,日用品,138.75
32,家電,140.0
33,食品,141.25
34,飲料,142.5
35,日用品,143.75
36,家電,145.0
37,食品,146.25
38,飲料,147.5
39,日用品,148.75
40,家電,150.0
41,食品,151.25
42,飲料,152.5
43,日用品,153.75
44,家電,155.0
45,食品,156.25
46,飲料,157.5
47,日用品,158.75
48,家電,160.0
49,食品,161.25
50,飲料,162.5
51,日用品,163.75
52,家電,165.0
53,食品,166.25
54,飲料,167.5
55,日用品,168.75
56,家電,170.0
57,食品,171.25
58,飲料,172.5
59,日用品,173.75
60,家電,175.0
61,食品,176.25
62,飲料,177.5
63,日用品,178.75
64,家電,180.0
65,食品,181.25
66,飲料,182.5
67,日用品,183.75
68,家電,185.0
69,食品,186.25
70,飲料,187.5
71,日用品,188.75
72,家電,190.0
73,食品,191.25
74,飲料,192.5
75,日用品,193.75
76,家電,195.0
77,食品,196.25
78,飲料,197.5
79,日用品,198.75
80,家電,200.0
81,食品,201.25
82,飲料,202.5
83,日用品,203.75
84,家電,205.0
85,食品,206.25
86,飲料,207.5
87,日用品,208.75
88,家電,210.0
89,食品,211.25
90,飲料,212.5
91,日用品,213.75
92,家電,215.0
93,食品,216.25
94,飲料,217.5
95,日用品,218.75
96,家電,220.0
97,食品,221.25
98,飲料,222.5
99,日用品,223.75
100,家電,225.0
101,食品,226.25
102,飲料,227.5
103,日用品,228.75
104,家電,230.0
105,食品,231.25
106,飲料,232.5
107,日用品,233.75
108,家電,235.0
