id,age,gender,department,salary,years_experience,score,satisfaction
1,58.0,女性,人事,327254.0,8,93,高い
2,48.0,男性,開発,564062.0,4,93,低い
3,34.0,女性,総務,365981.0,23,54,低い
4,27.0,男性,総務,310306.0,28,88,普通
5,40.0,男性,人事,427718.0,16,53,高い
6,58.0,女性,人事,588987.0,13,55,低い
7,38.0,女性,開発,400975.0,20,94,低い
8,,男性,総務,638745.0,30,81,高い
9,30.0,男性,総務,387512.0,2,79,普通
10,30.0,女性,総務,427443.0,27,96,普通
11,43.0,女性,営業,653616.0,0,84,低い
12,55.0,女性,総務,413121.0,19,89,高い
13,59.0,男性,営業,,30,65,普通
14,43.0,男性,開発,645871.0,28,62,高い
15,22.0,男性,営業,655037.0,20,99,高い
16,41.0,男性,開発,563076.0,22,91,低い
17,21.0,男性,総務,397796.0,0,79,普通
18,43.0,男性,総務,571999.0,2,68,低い
19,49.0,女性,開発,472506.0,17,66,普通
20,57.0,男性,人事,454088.0,24,68,普通
21,21.0,男性,,549544.0,9,77,普通
22,40.0,男性,人事,660002.0,30,75,普通
23,52.0,女性,営業,453714.0,21,86,普通
24,31.0,男性,営業,295151.0,25,75,高い
25,41.0,男性,営業,346690.0,2,72,低い
26,44.0,女性,総務,284499.0,7,58,高い
27,46.0,男性,営業,286295.0,13,61,普通
28,47.0,男性,人事,663029.0,23,50,低い
29,35.0,男性,営業,668215.0,17,50,普通
30,34.0,男性,開発,601184.0,14,96,低い
31,22.0,男性,開発,554327.0,21,83,高い
32,56.0,女性,総務,423946.0,22,81,低い
33,26.0,女性,開発,658480.0,1,97,低い
34,40.0,女性,人事,312711.0,30,74,低い
35,,男性,営業,547683.0,26,89,低い
36,58.0,男性,総務,464423.0,9,94,低い
37,37.0,男性,営業,459426.0,1,50,普通
38,23.0,女性,営業,668207.0,25,65,低い
39,44.0,男性,人事,413629.0,16,88,低い
40,33.0,男性,開発,580504.0,7,54,高い
41,28.0,女性,開発,493090.0,0,71,低い
42,45.0,男性,営業,413272.0,8,78,高い
43,21.0,女性,総務,523548.0,10,52,普通
44,39.0,女性,開発,458047.0,21,61,低い
45,47.0,女性,総務,563501.0,15,75,高い
46,26.0,男性,開発,399121.0,6,65,高い
47,27.0,男性,総務,357505.0,28,100,普通
48,54.0,男性,人事,282869.0,9,86,低い
49,33.0,男性,総務,,22,71,低い
50,36.0,男性,人事,592252.0,25,78,高い
51,55.0,男性,人事,392296.0,2,63,低い
52,59.0,男性,総務,374179.0,17,77,高い
53,23.0,女性,人事,370272.0,24,54,低い
54,21.0,男性,営業,318467.0,23,96,高い
55,25.0,女性,人事,565472.0,12,98,低い
56,23.0,男性,開発,633556.0,27,79,普通
57,48.0,男性,総務,415059.0,25,95,低い
58,37.0,男性,営業,338871.0,6,54,低い
59,45.0,女性,総務,695615.0,24,61,普通
60,53.0,女性,開発,408391.0,3,65,低い
61,29.0,女性,開発,366416.0,12,75,普通
62,55.0,女性,開発,612415.0,19,75,低い
63,33.0,男性,人事,586208.0,0,97,高い
64,50.0,女性,人事,536687.0,7,70,高い
65,34.0,男性,総務,481163.0,13,88,低い
66,27.0,男性,,387450.0,15,85,低い
67,33.0,女性,営業,451890.0,13,82,低い
68,42.0,女性,営業,561974.0,11,79,高い
69,59.0,女性,総務,690645.0,18,86,低い
70,40.0,女性,人事,680109.0,22,72,高い
71,35.0,女性,開発,396381.0,14,59,普通
72,37.0,女性,総務,327333.0,27,54,高い
73,,女性,営業,414508.0,1,85,高い
74,45.0,女性,人事,485362.0,1,83,普通
75,44.0,男性,総務,618357.0,22,80,高い
76,60.0,女性,総務,679111.0,30,59,低い
77,48.0,女性,人事,430810.0,21,68,低い
78,34.0,男性,総務,572890.0,18,81,高い
79,20.0,女性,人事,329377.0,24,50,低い
80,44.0,男性,開発,596189.0,25,54,高い
81,26.0,男性,人事,640032.0,30,94,低い
82,28.0,女性,人事,649599.0,29,53,低い
83,43.0,男性,人事,416672.0,28,65,高い
84,20.0,男性,総務,505732.0,21,73,低い
85,27.0,男性,総務,635323.0,25,65,高い
86,43.0,男性,人事,451836.0,25,51,低い
87,30.0,女性,総務,485615.0,21,98,低い
88,36.0,男性,営業,325714.0,16,77,普通
89,27.0,女性,営業,382946.0,19,81,普通
90,54.0,男性,総務,651760.0,9,76,高い
91,54.0,男性,総務,385983.0,5,69,普通
92,52.0,男性,人事,467563.0,14,73,高い
93,24.0,男性,開発,404123.0,21,61,普通
94,58.0,女性,総務,691805.0,10,99,低い
95,60.0,女性,営業,585628.0,27,84,高い
96,47.0,男性,人事,362989.0,4,82,高い
97,26.0,男性,総務,578356.0,0,82,低い
98,28.0,女性,営業,585669.0,7,100,高い
99,27.0,男性,営業,458274.0,20,92,高い
100,31.0,男性,開発,443707.0,27,86,普通
